CO2SoilSB
00:00:00 23/01/2023,356,15.85,87.96,421,15.61,90.18,575,15.87,90.33,374,15.86,87.49,493,13.66,97.23,759,13.87,96.13,5.35,6.44,9.15,10.82,229.00,385.00,3.00,4.09
00:10:00 23/01/2023,347,15.81,87.92,421,15.55,90.23,573,15.81,90.31,366,15.83,87.52,508,13.61,97.21,767,13.80,96.14,4.30,6.55,7.28,11.03,229.00,383.00,3.00,4.09
00:20:00 23/01/2023,342,15.73,87.92,420,15.51,90.25,578,15.83,90.36,368,15.83,87.61,475,13.54,97.24,783,13.77,96.16,3.61,4.68,6.03,7.75,220.00,383.00,2.00,4.10
00:30:00 23/01/2023,338,15.73,87.91,413,15.45,90.30,576,15.81,90.37,366,15.81,87.63,502,13.48,97.23,747,13.71,96.17,4.88,6.73,8.30,11.33,211.00,379.00,2.00,4.10
00:40:00 23/01/2023,348,15.66,87.93,408,15.38,90.29,589,15.79,90.40,365,15.81,87.70,483,13.43,97.24,766,13.67,96.20,5.42,4.10,9.28,6.74,210.00,382.00,2.00,4.09
00:50:00 23/01/2023,345,15.62,87.87,400,15.34,90.33,584,15.80,90.42,370,15.77,87.70,496,13.35,97.21,754,13.62,96.19,4.27,6.62,7.22,11.14,215.00,382.00,3.00,4.09
01:00:00 23/01/2023,343,15.56,87.89,398,15.27,90.34,577,15.79,90.46,374,15.76,87.73,469,13.32,97.20,752,13.56,96.22,3.91,6.30,6.57,10.58,201.00,380.00,1.00,4.10
01:10:00 23/01/2023,334,15.51,87.84,405,15.21,90.42,586,15.77,90.48,361,15.76,87.82,464,13.27,97.21,758,13.51,96.21,5.45,6.15,9.32,10.32,205.00,381.00,3.00,4.10
01:20:00 23/01/2023,335,15.45,87.83,393,15.15,90.39,574,15.79,90.53,366,15.76,87.86,462,13.14,97.18,764,13.45,96.22,5.49,6.39,9.41,10.74,201.00,380.00,3.00,4.09
01:30:00 23/01/2023,334,15.42,87.79,398,15.07,90.44,586,15.77,90.54,361,15.74,87.89,479,13.09,97.17,779,13.39,96.22,5.05,5.50,8.62,9.18,201.00,382.00,1.00,4.10
01:40:00 23/01/2023,323,15.34,87.75,392,15.04,90.43,586,15.74,90.58,366,15.73,87.95,470,13.03,97.11,728,13.32,96.22,4.45,6.15,7.54,10.32,193.00,380.00,3.00,4.09
01:50:00 23/01/2023,326,15.30,87.77,387,14.95,90.40,577,15.77,90.60,363,15.73,87.99,470,12.98,97.09,733,13.27,96.22,3.58,4.61,5.98,7.63,178.00,379.00,3.00,4.09
02:00:00 23/01/2023,324,15.25,87.70,382,14.91,90.43,576,15.73,90.61,367,15.70,88.01,448,12.92,97.05,747,13.20,96.20,4.22,6.34,7.13,10.64,184.00,379.00,2.00,4.10
02:10:00 23/01/2023,326,15.20,87.69,381,14.84,90.41,575,15.73,90.67,368,15.69,88.11,450,12.84,97.02,744,13.14,96.19,3.71,4.45,6.22,7.35,179.00,378.00,3.00,4.10
02:20:00 23/01/2023,325,15.17,87.66,384,14.76,90.42,571,15.70,90.68,372,15.66,88.13,466,12.80,97.02,727,13.10,96.19,4.41,4.62,7.48,7.64,178.00,376.00,1.00,4.10
02:30:00 23/01/2023,322,15.08,87.65,376,14.73,90.41,581,15.70,90.70,362,15.66,88.18,454,12.75,97.00,749,13.04,96.22,4.87,5.20,8.29,8.67,173.00,376.00,3.00,4.10
02:40:00 23/01/2023,318,15.04,87.63,372,14.64,90.41,571,15.69,90.71,362,15.64,88.22,439,12.69,96.97,730,12.97,96.17,5.52,6.59,9.46,11.10,173.00,376.00,3.00,4.10
02:50:00 23/01/2023,321,15.01,87.59,374,14.60,90.42,572,15.66,90.76,372,15.63,88.29,481,12.62,96.96,735,12.92,96.19,4.48,4.42,7.59,7.30,170.00,375.00,3.00,4.11
03:00:00 23/01/2023,319,14.93,87.59,376,14.56,90.41,574,15.64,90.79,365,15.60,88.33,461,12.57,96.96,707,12.87,96.17,5.53,4.25,9.48,7.00,157.00,374.00,2.00,4.10
03:10:00 23/01/2023,312,14.88,87.57,370,14.50,90.43,568,15.63,90.82,369,15.59,88.37,446,12.52,96.95,724,12.83,96.18,4.76,5.26,8.09,8.76,166.00,374.00,3.00,4.09
03:20:00 23/01/2023,309,14.87,87.61,370,14.44,90.41,577,15.63,90.83,362,15.59,88.39,432,12.45,96.93,735,12.77,96.17,4.34,4.72,7.34,7.82,158.00,373.00,2.00,4.10
03:30:00 23/01/2023,305,14.80,87.63,369,14.39,90.39,577,15.57,90.89,361,15.53,88.46,457,12.43,96.95,730,12.73,96.19,5.03,4.80,8.58,7.97,158.00,373.00,2.00,4.10
03:40:00 23/01/2023,306,14.73,87.55,366,14.35,90.40,579,15.59,90.91,371,15.53,88.49,438,12.40,96.95,727,12.68,96.20,6.20,3.89,10.68,6.37,151.00,373.00,2.00,4.11
03:50:00 23/01/2023,301,14.69,87.59,363,14.32,90.43,570,15.56,90.91,367,15.52,88.57,447,12.33,96.98,719,12.66,96.22,5.23,5.85,8.94,9.80,149.00,372.00,3.00,4.11
04:00:00 23/01/2023,309,14.69,87.58,364,14.29,90.47,578,15.56,90.96,364,15.49,88.58,429,12.31,96.97,722,12.61,96.23,5.00,4.92,8.52,8.17,148.00,372.00,2.00,4.11
04:10:00 23/01/2023,296,14.65,87.61,365,14.23,90.44,571,15.53,90.97,362,15.46,88.64,442,12.27,96.96,745,12.56,96.25,4.30,6.81,7.27,11.48,141.00,371.00,3.00,4.12
04:20:00 23/01/2023,294,14.60,87.64,367,14.19,90.44,568,15.52,91.02,357,15.45,88.69,436,12.25,97.00,713,12.52,96.23,3.67,4.69,6.15,7.76,137.00,370.00,3.00,4.11
04:30:00 23/01/2023,296,14.56,87.61,358,14.16,90.46,564,15.52,91.04,361,15.43,88.75,442,12.20,96.98,724,12.49,96.26,4.26,5.93,7.20,9.93,128.00,370.00,3.00,4.11
04:40:00 23/01/2023,302,14.52,87.64,363,14.13,90.50,577,15.50,91.03,363,15.41,88.77,465,12.17,97.02,721,12.45,96.28,5.67,4.45,9.73,7.34,133.00,369.00,2.00,4.11
04:50:00 23/01/2023,294,14.50,87.62,358,14.13,90.50,564,15.45,91.04,358,15.39,88.81,446,12.13,97.04,711,12.42,96.27,4.53,4.80,7.68,7.96,128.00,370.00,3.00,4.11
05:00:00 23/01/2023,292,14.46,87.65,370,14.06,90.48,572,15.45,91.10,355,15.35,88.87,429,12.10,97.06,708,12.38,96.30,5.02,4.92,8.55,8.17,123.00,370.00,4.00,4.12
05:10:00 23/01/2023,294,14.42,87.61,360,14.01,90.50,576,15.45,91.12,364,15.36,88.90,448,12.06,97.05,670,12.34,96.27,3.74,5.95,6.27,9.98,110.00,368.00,1.00,4.12
05:20:00 23/01/2023,297,14.37,87.65,356,13.99,90.51,575,15.40,91.12,361,15.32,88.96,451,12.02,97.07,689,12.32,96.33,5.48,6.25,9.39,10.49,113.00,367.00,2.00,4.11
05:30:00 23/01/2023,291,14.35,87.66,347,13.96,90.53,566,15.39,91.16,351,15.29,88.97,438,12.02,97.09,703,12.30,96.35,5.48,5.16,9.38,8.60,114.00,367.00,2.00,4.12
05:40:00 23/01/2023,287,14.33,87.71,355,13.93,90.56,566,15.36,91.19,355,15.31,89.03,415,11.97,97.08,742,12.26,96.35,4.98,7.47,8.48,12.62,115.00,366.00,3.00,4.13
05:50:00 23/01/2023,285,14.31,87.70,359,13.89,90.56,573,15.35,91.20,364,15.28,89.02,425,11.95,97.12,686,12.23,96.38,4.83,5.38,8.22,8.98,115.00,366.00,2.00,4.13
06:00:00 23/01/2023,287,14.26,87.70,353,13.86,90.56,575,15.33,91.25,356,15.26,89.11,438,11.91,97.11,695,12.19,96.39,4.60,7.00,7.81,11.81,106.00,363.00,3.00,4.13
06:10:00 23/01/2023,285,14.24,87.66,349,13.81,90.58,567,15.33,91.23,362,15.22,89.11,435,11.87,97.11,722,12.17,96.40,6.16,4.12,10.61,6.77,109.00,365.00,3.00,4.13
06:20:00 23/01/2023,287,14.18,87.66,346,13.81,90.56,565,15.29,91.26,353,15.21,89.14,441,11.83,97.13,709,12.11,96.40,5.66,4.95,9.71,8.23,108.00,364.00,3.00,4.13
06:30:00 23/01/2023,280,14.18,87.65,346,13.75,90.59,570,15.29,91.28,356,15.19,89.16,430,11.80,97.12,727,12.10,96.38,4.73,4.88,8.05,8.11,106.00,363.00,4.00,4.14
06:40:00 23/01/2023,286,14.14,87.65,345,13.72,90.56,563,15.28,91.33,352,15.18,89.24,443,11.75,97.14,694,12.05,96.38,4.50,4.60,7.63,7.61,103.00,362.00,3.00,4.14
06:50:00 23/01/2023,285,14.09,87.62,342,13.66,90.57,566,15.23,91.31,355,15.15,89.24,441,11.70,97.13,697,12.01,96.38,5.19,5.28,8.86,8.80,102.00,362.00,2.00,4.14
07:00:00 23/01/2023,277,14.07,87.57,344,13.64,90.57,567,15.23,91.31,353,15.13,89.26,433,11.66,97.11,691,11.97,96.37,4.85,5.52,8.26,9.21,101.00,360.00,3.00,4.15
07:10:00 23/01/2023,279,14.02,87.57,339,13.61,90.56,559,15.19,91.35,352,15.11,89.31,419,11.62,97.09,698,11.94,96.38,5.46,7.30,9.35,12.32,96.00,359.00,2.00,4.15
07:20:00 23/01/2023,276,13.98,87.55,337,13.55,90.54,562,15.21,91.38,355,15.08,89.34,417,11.57,97.09,688,11.88,96.36,4.95,5.25,8.44,8.75,93.00,360.00,2.00,4.15
07:30:00 23/01/2023,269,13.92,87.42,341,13.51,90.54,557,15.15,91.33,353,15.09,89.36,424,11.54,97.08,692,11.85,96.35,4.76,7.36,8.09,12.43,95.00,359.00,3.00,4.16
07:40:00 23/01/2023,276,13.89,87.46,337,13.45,90.49,558,15.17,91.40,351,15.05,89.38,450,11.47,97.07,689,11.80,96.34,4.25,4.74,7.18,7.86,84.00,357.00,2.00,4.16
07:50:00 23/01/2023,276,13.88,87.43,339,13.41,90.51,562,15.15,91.39,343,15.03,89.41,402,11.43,97.06,708,11.76,96.31,5.48,6.69,9.38,11.26,91.00,357.00,2.00,4.16
08:00:00 23/01/2023,272,13.82,87.44,336,13.39,90.48,561,15.12,91.42,352,15.02,89.45,409,11.39,97.05,673,11.71,96.31,4.58,6.88,7.77,11.60,87.00,356.00,3.00,4.17
08:10:00 23/01/2023,270,13.78,87.43,336,13.37,90.53,552,15.09,91.42,340,14.99,89.42,428,11.36,97.07,682,11.71,96.31,5.17,5.92,8.83,9.92,90.00,357.00,2.00,4.17
08:20:00 23/01/2023,276,13.77,87.46,329,13.34,90.51,546,15.09,91.44,339,14.96,89.52,397,11.34,97.07,678,11.67,96.33,5.38,6.05,9.21,10.14,87.00,355.00,4.00,4.18
08:30:00 23/01/2023,274,13.74,87.52,332,13.33,90.53,555,15.06,91.48,337,14.98,89.41,409,11.32,97.09,656,11.64,96.34,5.19,6.12,8.86,10.26,90.00,355.00,3.00,4.19
08:40:00 23/01/2023,277,13.73,87.55,340,13.29,90.57,548,15.05,91.53,340,14.94,89.52,426,11.32,97.11,677,11.64,96.36,5.44,5.74,9.31,9.61,85.00,354.00,2.00,4.20
08:50:00 23/01/2023,271,13.71,87.67,341,13.33,90.61,554,15.03,91.51,340,14.92,89.51,425,11.32,97.15,684,11.63,96.40,5.29,5.80,9.04,9.72,83.00,353.00,2.00,4.20
09:00:00 23/01/2023,274,13.70,87.78,337,13.33,90.66,552,15.02,91.57,338,14.90,89.54,425,11.35,97.22,708,11.63,96.50,4.02,4.98,6.76,8.28,83.00,351.00,2.00,4.22
09:10:00 23/01/2023,273,13.70,87.95,338,13.35,90.72,549,14.98,91.51,342,14.88,89.56,413,11.41,97.29,689,11.65,96.54,4.14,4.61,6.99,7.63,79.00,352.00,4.00,4.22
09:20:00 23/01/2023,276,13.73,88.17,347,13.41,90.83,547,14.95,91.53,338,14.85,89.58,429,11.46,97.35,696,11.68,96.63,5.11,5.20,8.72,8.65,75.00,353.00,3.00,4.22
09:30:00 23/01/2023,276,13.75,88.37,341,13.47,90.85,548,14.96,91.55,345,14.84,89.57,427,11.54,97.43,706,11.72,96.73,3.55,4.73,5.92,7.85,68.00,352.00,4.00,4.22
09:40:00 23/01/2023,286,13.78,88.61,340,13.55,90.97,548,14.95,91.56,335,14.81,89.66,463,11.61,97.52,695,11.78,96.84,4.01,4.72,6.75,7.82,67.00,353.00,3.00,4.22
09:50:00 23/01/2023,291,13.85,88.92,345,13.61,91.05,544,14.91,91.52,336,14.78,89.63,440,11.74,97.61,696,11.87,96.94,4.74,4.88,8.06,8.11,63.00,355.00,3.00,4.22
10:00:00 23/01/2023,286,13.89,89.12,356,13.73,91.13,556,14.91,91.57,335,14.81,89.66,471,11.84,97.67,717,11.94,97.06,5.45,5.01,9.32,8.32,66.00,357.00,3.00,4.23
10:10:00 23/01/2023,287,13.97,89.35,350,13.83,91.23,548,14.89,91.62,331,14.77,89.69,444,11.97,97.72,711,12.03,97.17,5.72,4.35,9.81,7.18,62.00,357.00,2.00,4.23
10:20:00 23/01/2023,297,14.07,89.60,363,13.96,91.29,541,14.89,91.61,337,14.75,89.70,439,12.10,97.83,722,12.15,97.26,4.77,5.08,8.12,8.45,65.00,358.00,3.00,4.23
10:30:00 23/01/2023,303,14.14,89.79,366,14.06,91.34,542,14.85,91.58,331,14.77,89.74,465,12.23,97.86,700,12.28,97.35,4.73,7.13,8.03,12.04,53.00,360.00,3.00,4.22
10:40:00 23/01/2023,311,14.24,89.90,368,14.19,91.42,545,14.85,91.58,343,14.72,89.75,502,12.40,97.89,689,12.35,97.40,5.27,4.55,9.00,7.53,61.00,362.00,3.00,4.23
10:50:00 23/01/2023,311,14.32,89.95,366,14.32,91.41,540,14.82,91.56,331,14.70,89.73,494,12.52,97.92,741,12.48,97.47,5.12,7.16,8.75,12.08,62.00,361.00,2.00,4.23
11:00:00 23/01/2023,320,14.43,89.93,373,14.48,91.39,538,14.82,91.62,328,14.71,89.74,485,12.68,97.90,734,12.58,97.47,4.91,4.77,8.36,7.91,57.00,363.00,3.00,4.23
11:10:00 23/01/2023,324,14.52,89.72,376,14.59,91.41,551,14.81,91.58,335,14.71,89.79,491,12.82,97.91,729,12.72,97.51,4.60,7.44,7.81,12.57,56.00,365.00,3.00,4.23
11:20:00 23/01/2023,329,14.63,89.59,395,14.74,91.35,551,14.84,91.60,325,14.71,89.78,509,12.97,97.85,744,12.85,97.51,4.12,5.16,6.96,8.58,53.00,367.00,3.00,4.23
11:30:00 23/01/2023,330,14.76,89.48,392,14.86,91.27,547,14.82,91.61,332,14.72,89.85,488,13.12,97.75,745,12.96,97.48,6.27,4.00,10.79,6.56,46.00,367.00,3.00,4.23
11:40:00 23/01/2023,345,14.84,89.41,394,15.00,91.15,542,14.82,91.59,328,14.74,89.86,532,13.28,97.70,773,13.08,97.42,6.36,4.31,10.96,7.11,44.00,369.00,3.00,4.22
11:50:00 23/01/2023,340,14.97,89.35,405,15.15,90.97,546,14.82,91.60,326,14.72,89.90,527,13.44,97.58,789,13.22,97.39,4.84,7.73,8.24,13.09,44.00,370.00,2.00,4.22
12:00:00 23/01/2023,357,15.08,89.28,414,15.28,90.74,548,14.84,91.57,329,14.75,89.90,528,13.61,97.43,768,13.35,97.30,4.20,6.93,7.08,11.68,44.00,371.00,2.00,4.22
12:10:00 23/01/2023,358,15.21,89.27,421,15.42,90.50,544,14.81,91.57,324,14.74,89.91,531,13.78,97.26,792,13.49,97.16,5.41,5.17,9.27,8.61,45.00,373.00,3.00,4.23
12:20:00 23/01/2023,368,15.34,89.17,425,15.58,90.19,550,14.84,91.60,332,14.78,89.87,552,13.94,97.08,793,13.66,96.94,4.24,5.05,7.17,8.41,38.00,375.00,3.00,4.22
12:30:00 23/01/2023,376,15.48,89.08,436,15.76,89.79,548,14.85,91.55,325,14.77,89.95,547,14.14,96.84,813,13.81,96.61,4.75,4.86,8.08,8.06,36.00,373.00,2.00,4.22
12:40:00 23/01/2023,385,15.62,88.99,445,15.96,89.45,553,14.88,91.58,326,14.80,89.94,577,14.31,96.61,811,13.97,96.31,4.14,6.63,6.99,11.16,36.00,377.00,3.00,4.22
12:50:00 23/01/2023,384,15.76,88.91,461,16.10,89.10,542,14.91,91.53,333,14.84,89.99,574,14.49,96.35,852,14.15,96.03,5.43,6.11,9.29,10.25,36.00,378.00,4.00,4.23
